127.0.0.1 - - [09/Apr/2025:13:42:15 -0300] "GET / HTTP/1.1" 404 763
127.0.0.1 - - [09/Apr/2025:13:42:21 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 130
127.0.0.1 - - [09/Apr/2025:13:56:27 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:56:27 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Apr/2025:13:56:27 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:56:44 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:56:44 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 62
127.0.0.1 - - [09/Apr/2025:13:56:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:56:45 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:56:45 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Apr/2025:13:57:26 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:57:26 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 93
127.0.0.1 - - [09/Apr/2025:13:57:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:57:38 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:57:38 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 196
127.0.0.1 - - [09/Apr/2025:13:57:38 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:57:50 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:13:57:50 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 197
127.0.0.1 - - [09/Apr/2025:13:57:50 -0300] "GET /favicon.ico HTTP/1.1" 404 774
